epoch,accuracy,iou,loss,lr,precision,recall,val_accuracy,val_iou,val_loss,val_precision,val_recall
0,0.8230290412902832,0.10504789650440216,0.468705415725708,1e-04,0.2364892065525055,0.373698353767395,0.9085405468940735,0.07496409118175507,0.6210662126541138,0.004724613390862942,0.00020842315279878676
1,0.9059497714042664,0.12667642533779144,0.36136919260025024,1e-04,0.5206449627876282,0.3425220847129822,0.9085856080055237,0.0701402872800827,0.532081663608551,0.004780302755534649,0.00020842315279878676
2,0.9168269634246826,0.14449818432331085,0.32782992720603943,1e-04,0.6055161952972412,0.4025609791278839,0.912357747554779,0.06883018463850021,0.4381773769855499,0.0,0.0
3,0.9245263934135437,0.1618758887052536,0.30447447299957275,1e-04,0.6648252010345459,0.4463817775249481,0.9110782742500305,0.0686669573187828,0.3770558536052704,0.06151742860674858,0.0010278401896357536
4,0.9311230182647705,0.1789313554763794,0.28465476632118225,1e-04,0.7168602347373962,0.48031604290008545,0.8993880748748779,0.0665910392999649,0.36102303862571716,0.04794943705201149,0.007754483260214329
5,0.9370335340499878,0.19701921939849854,0.2662535309791565,1e-04,0.7605188488960266,0.5154295563697815,0.8971505165100098,0.06814221292734146,0.3474726974964142,0.08882643282413483,0.018498267978429794
6,0.9416570663452148,0.214906707406044,0.24959313869476318,1e-04,0.7880812287330627,0.5499789714813232,0.8881915807723999,0.08726188540458679,0.3426124155521393,0.23725679516792297,0.12238150835037231
7,0.9450856447219849,0.2303003966808319,0.23573444783687592,1e-04,0.8079291582107544,0.5749095678329468,0.9005714654922485,0.09736790508031845,0.31123819947242737,0.33929547667503357,0.13832445442676544
8,0.9500970840454102,0.25005191564559937,0.22036464512348175,1e-04,0.8398241996765137,0.6069062352180481,0.9149129986763,0.1243526041507721,0.2816756069660187,0.5382117629051208,0.23475013673305511
9,0.9535832405090332,0.26704901456832886,0.20800133049488068,1e-04,0.8559553623199463,0.63471519947052,0.9252982139587402,0.15104374289512634,0.255565345287323,0.6637702584266663,0.3105790317058563
10,0.9566709399223328,0.28378796577453613,0.19642993807792664,1e-04,0.8684837222099304,0.6607694029808044,0.930341362953186,0.16295281052589417,0.24204599857330322,0.7292613387107849,0.33542993664741516
